winner,r_stance,b_stance,career_wins_diff,career_losses_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_diff,SApM_diff,sig_str_acc_diff,td_acc_diff,str_def_diff,td_def_diff,sub_avg_diff,td_avg_diff
Blue,Orthodox,Orthodox,-1,-1,-1,-5.079999999999984,0,2.539999999999992,0.94,-0.10999999999999988,-0.009999999999999953,0.040000000000000036,-0.020000000000000018,0.26,0.19999999999999996,0.69
Red,Orthodox,Southpaw,3,-3,4,7.6200000000000045,-13.159999999999997,12.699999999999989,-1.2199999999999998,-3.3199999999999994,-0.020000000000000018,0.5,0.13,0.5,0.2,4.75
Red,Orthodox,Orthodox,6,1,-6,2.5400000000000205,0,-2.539999999999992,-0.69,-1.2199999999999998,0.06,-0.37,-0.010000000000000009,-0.020000000000000018,0.3,0.5700000000000003
Red,Switch,Southpaw,-1,-2,2,5.0800000000000125,0,7.6200000000000045,2.7300000000000004,-0.5999999999999996,0.08000000000000002,-0.28,0,0.43000000000000005,-0.19999999999999996,-0.91
Blue,Orthodox,Switch,4,1,8,0,0,-5.079999999999984,4.48,3.8400000000000003,0.07000000000000006,-0.11000000000000001,-0.22000000000000003,0.010000000000000009,-0.19999999999999996,-1.0399999999999998
Red,Orthodox,Orthodox,8,3,-2,7.619999999999976,0,17.78,0.4500000000000002,-2.9499999999999993,-0.14999999999999997,0,0.010000000000000009,0.33999999999999997,0.8,0
Blue,Orthodox,Orthodox,4,2,3,0,0,-5.079999999999984,0.9900000000000002,0.4800000000000004,-0.03999999999999998,0.12999999999999998,-0.09999999999999998,-0.54,0.30000000000000004,-0.9299999999999999
Blue,Orthodox,Southpaw,-13,-6,-6,-10.159999999999997,0,-5.0800000000000125,-2.9299999999999997,-2.55,-0.10999999999999999,0.13999999999999996,0.09999999999999998,0.14,-0.10000000000000009,1.3900000000000001
Red,Orthodox,Orthodox,-6,-8,-7,-7.6200000000000045,0,-12.700000000000017,-0.7200000000000002,-1.5300000000000002,0.03999999999999998,-0.060000000000000026,0.1100000000000001,0.16999999999999993,-0.2,-0.13000000000000012
Red,Orthodox,Switch,5,3,-1,0,0,0,-3.7100000000000004,-4,0.06,-1,0.030000000000000027,-0.5599999999999999,0.3,-0.28
Blue,Orthodox,NA,-3,0,7,-2.539999999999992,0,0,-0.6699999999999999,2.23,-0.09999999999999998,0.54,-0.2799999999999999,0.5,0,3
Blue,Orthodox,Orthodox,0,1,-5,0,0,5.079999999999984,3.19,1.6600000000000001,-0.07999999999999996,0.04999999999999993,-0.13,-0.10999999999999999,-1.3,8.379999999999999
Blue,Orthodox,Orthodox,2,3,6,-5.079999999999984,-11.790000000000006,0,-1.3599999999999999,0.27,-0.14,-0.22999999999999998,-0.06999999999999995,-0.5,-0.3,-0.7100000000000001
